Title,description,authors,publisher,publishedDate,categories
Audi Quattro: The Complete Story,"The Audi Quattro was the world's first successful four-wheel-drive rally car. It brought new standards to the sport, and inspired many others to copy it. This is the complete story.",['Graham Robson'],Veloce Publishing Ltd,2008-06-15,['Sports & Recreation']
Natural Wonders of the World: Converting Measurements to Metric Units (Powermath),"This book explores some of the world's most famous natural wonders, explaining measurements in the U.S. customary system and the metric system.","[""Kerri O'Donnell""]","The Rosen Publishing Group, Inc",2004-08-01,['Juvenile Nonfiction']
The book of the lover and the beloved;,A spiritual philosophy which calls our attention to contemplate our connection with God. In this remarkable mystic work Lull shares his personal views about romance with his readers. Splendid and motivating.,"['Ramon Llull', 'Kenneth Leech', 'Edgar Allison Peers']",,1978,['Meditations']
Night World: Daughters Of Darkness,"""There’s something strange about the new girls in town. Briar Creek, Oregon, has never seen anything like the supernatural grace of Rowan, Kestrel, and Jade, three sisters who move into the dilapidated old house next to Mark and Mary-Lynnette Carter""--Publisher.",['L.J. Smith'],Simon and Schuster,2016-12-06,['Juvenile Fiction']
America at 1750: A Social Portrait,"Demonstrates how the colonies developed into the first nation created under the influences of nationalism, modern capitalism and Protestantism.",['Richard Hofstadter'],Vintage,1973,['History']
Death Dream,"The authors probe the phenomenon of ""pre-death dreams,"" delving into culture, history, and psychology to present a multidisciplinary portrait of the visions many people have on the verge of their own deaths.","['Kelly Bulkeley', 'Patricia Bulkley']",Beacon Press,2005,"['Body, Mind & Spirit']"
Information Theory in Analytical Chemistry (Chemical Analysis: A Series of Monographs on Analytical Chemistry and Its Applications),Demonstrates how the information theory approach to experimental data can be of benefit not only to analytical chemists but to all those using these techniques in the decision making process. Deals with information-theoretic fundamentals as well as with practical aspects. Discusses the system nature of analysis which is of particular importance in multicomponent analysis.,"['Karel Eckschlager', 'Klaus Danzer']",John Wiley & Sons,1994-06-14,['Science']
Alternative Chicago: Unique Destinations Beyond the Magnificent Mile,"""""Alternative Chicago"""" is for the young-at-heart, adventurous, or slightly offbeat Chicago visitor who wants to see more of the city than the homogenous Michigan Avenue shopping district.",['Bill Franz'],Cumberland House Publishing,2004-03-01,['History']
Handbook of Environmental and Resource Economics,"This major reference book comprises specially commissioned surveys in environmental and resource economics written by an international team of experts. Authoritative yet accessible, each entry provides a state-of-the-art summary of key areas that will be invaluable to researchers, practitioners and advanced students.",['Jeroen C. J. M. Van den Bergh'],Edward Elgar Publishing,2002-01-01,['Business & Economics']
The Food Of Love,"Een heerlijke roman over culinaire verleiding Zijn Italiaanse mannen echt zulke goede minnaars? De Amerikaanse Laura, studente kunstgeschiedenis in Roma, heeft andere ervaringen. Een vriendin suggereert dat ze op zoek moet gaan naar een chef-kok; een man die goed kan koken zal ongetwijfeld ook een goede minnaar zijn. Laura ontmoet de onweerstaanbare Tomasso, die bij het exclusieve restaurant Templi werkt. Tomasso verzwijgt echter dat hij slechts ober is – en dat de verlegen Bruno de chef-kok is die meest sensuele gerechten voor haar bereidt… Anthony Capella is naast auteur ook een fervent reiziger en amateurkok. Hij is tevens auteur van Dansen op de vulkaan en De koffiehandelaar. Hij woont in Oxfordshire met zijn gezin.",['Anthony Capella'],Boekerij,2013-12-17,['Fiction']
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",['Thomas Chastain'],Avon Books,1990-07,['Fiction']
Information Breakthrough (Psi Successful Business Library),Demonstrates how to develop specific measures of business performance by extracting relevant information out of endless amounts of data,['Charles J. Bodenstab'],Hellgate Press,1997-01-01,['Computers']
Foreignisms: A dictionary of foreign expressions commonly (and not so commonly) used in English,"With more than 1,000 entries, a guide to pronunciation, examples and guidance on use in writing and speaking, Foreignisms not only educates and entertains but helps one incorporate les mots justes into conversation.",['Tad Tuleja'],New York : Macmillan ; London : Collier Macmillan,1989,['English language']
